GAMESTATE,HASHCODE
1313,-848496892
1314,-848496891
1315,-848496890
1316,-1726951994
1317,426163463
1318,-848495379
1319,426163463
1320,-1726951992
1321,426163465
1322,-848495375
1323,-1726951988
1324,-848495350
1325,-1726951963
1326,426163494
1327,-848495348
1328,426163494
1329,-848495347
1330,-848495346
1331,-1726951959
1332,-1726951958
1333,-848495343
1334,-2081563251
1335,-1342004062
1336,-848498418
1337,-1726955031
1338,-848498416
1339,-848498415
1340,-848498414
1341,-1726955027
1342,-848498412
1343,-1726955025
1344,426160432
1345,-848498410
1346,426160432
1347,-1726955023
1348,426160434
1349,-848498408
1350,426160434
1351,-848498407
1352,1304617050
1353,-848498406
1354,1304617050
1355,-848496896
1356,1304618561
1357,-848496895
1358,-1726953508
1359,426161949
1360,-848496893
1361,426161949
1362,-1726953506
1363,426161951
1364,-848496891
1365,426161951
1366,-1726953504
1367,-848496889
1368,1304618568
1369,-1726953502
1370,1304618568
1371,426161955
1372,-1726953501
1373,-1726951991
1374,426161956
1375,-848496886
1376,426161956
1377,-1726951990
1378,-848495375
1379,1304620082
1380,-848495374
1381,1304620082
1382,-848495373
1383,-848496887
1384,1304618570
1385,-848496886
1386,1304618570
1387,1304618571
1388,-848496864
1389,-1726953477
1390,426161980
1391,-848496862
1392,-848495343
1393,1304620114
1394,-1726951956
1395,426163501
1396,-848495341
1397,426163501
1398,-848492317
1399,-848492316
1400,-848492315
1401,-1726948928
1402,426166529
1403,-848492313
1404,426166529
1405,-2081563255
1406,-1342004066
1407,-848498422
1408,-1726955035
1409,426160422
1410,-848498420
1411,-1726955033
1412,426160424
1413,-848498418
1414,426160424
1415,-1726955031
1416,426160426
1417,-848498416
1418,426160426
1419,-1726955029
1420,426160428
1421,-848498414
1422,-848498413
1423,-848498412
1424,-1726955025
1425,426160432
1426,-848498410
1427,1304617047
1428,-848498409
1429,1304617047
1430,-848496899
1431,-848496898
1432,-1726953511
1433,426161946
1434,-848496896
1435,426161946
1436,-848496895
1437,1304618562
1438,-848496894
1439,1304618562
1440,1304618563
1441,-848496893
1442,1304618564
1443,-1726953506
1444,1304618564
1445,426161951
1446,-848496891
1447,426161951
1448,-848498405
1449,-848498404
1450,-848496885
1451,1304618572
1452,-1726953498
1453,1304618572
1454,-848496883
1455,-848496882
1456,-848495364
1457,-1726951977
1458,426163480
1459,-848495362
1460,426163480
1461,-848493843
1462,1304621614
1463,-848493821
1464,1304621614
1465,-848493820
1466,-848493819
1467,-848493818
1468,-1726948922
1469,426166535
1470,-848492307
1471,426166535
1472,-848492312
1473,-1726948925
1474,-848492310
1475,-848489216
1476,-848489215
1477,-1726945828
1478,-1726945826
1479,426169631
1480,-1726945825
1481,-1726945824
1482,426169633
1483,-1726945823
1484,426169633
1485,-1726945822
1486,-1726945821
1487,-848489206
1488,-1726945819
1489,-1726945818
1490,426169639
1491,-1726944308
1492,426169639
1493,-1726944307
1494,426171150
1495,-848487692
1496,426171150
1497,-1726944305
1498,426171152
1499,-1726944304
1500,-848487689
1501,-1726944303
1502,-1726944303
1503,426171154
1504,-1726944302
1505,426171155
1506,-1726944301
1507,426171153
1508,-1726944303
1509,-1726944303
1510,426171154
1511,-1726944303
1512,-1726944302
1513,-1726944303
1514,-1726944301
1515,426171156
1516,-1726944300
1517,426171157
1518,-848487685
1519,-848487684
1520,-848487683
1521,-1726944296
1522,-848487681
1523,-848487679
1524,-1726944293
1525,-1726944293
1526,-1726944292
1527,-1726944270
1528,426171187
1529,-1726944269
1530,426171187
1531,-848486145
1532,-1726942758
1533,426172699
1534,-1726942757
1535,426172699
1536,-1726942756
1537,-848486141
1538,-848486140
1539,-848486139
1540,-1726942753
1541,-2081555564
1542,-1341994830
1543,-1726945801
1544,-1726945801
1545,-848489186
1546,-848489185
1547,-848489184
1548,-1726945798
1549,-1726945797
1550,-848489183
1551,-1726945796
1552,426169661
1553,-848489181
1554,-848489180
1555,-1726945793
1556,426169664
1557,-1726945792
1558,426169665
1559,-848489177
1560,426169665
1561,-848489176
1562,-1726945789
1563,-1726945788
1564,-1726945787
1565,-848489172
1566,-848489171
1567,-1726945784
1568,426169673
1569,-1726945783
1570,426169673
1571,-1726944273
1572,426171184
1573,-1726944272
1574,426171185
1575,-1726944271
1576,426171185
1577,-1726944270
1578,426171187
1579,-1726944269
1580,-1726944268
1581,-848487654
1582,-1726944268
1583,-1726944268
1584,-848486144
1585,-1726942757
1586,426172700
1587,-848486142
1588,426172700
1589,-848486143
1590,-1726942756
1591,-848486141
1592,-848486140
1593,-1726942753
1594,-848486138
1595,-1726942751
1596,-848486136
1597,-1726942749
1598,-1726942727
1599,-1726942726
1600,-1726942725
1601,426172732
1602,-848486110
1603,426172732
1604,-1726942723
1605,-848486108
