GAME|UUID|STARTTIME|NEXTSTATINDEX|CURRENTSTATE|OURSEASON|THEIRSEASON|TAKESTATSNOWEVENT
264|7e59eea5-b4df-4156-a4f1-01e60267d91c||209|12803|49|54|0
265|d651fc39-c0bf-4c1b-9b31-7639d21e5eb3||203|12354|49|54|0
266|4785fe2e-92a4-4dd8-9952-521c63edde9c||146|11826|49|54|0
267|6c65968b-b342-43e7-96bf-0a8ed06c0f68||173|11655|49|66|0
268|1efb7b59-fd80-4226-ac00-0575fdec494f||146|12897|49|66|0
269|1217f96b-ad4d-4934-9e5b-12566bee9008||164|12288|49|66|0
270|3bb5a474-1cd2-4840-91b6-528e74bb700f||190|4297|49|56|0
271|748d95a3-9ba9-402c-a716-bc24d67b6237||143|12940|49|56|0
272|f281c3c7-0e0e-4cf1-b736-4b911a1473b9||182|12492|49|56|0
273|a584279a-7e9f-41ae-bd81-eef39eba6b0e||161|12803|49|67|0
274|4533c339-0ea3-4fcd-ab2b-608eedd6deec||136|12969|49|68|0
275|97a80458-2661-403f-a65e-6b22c0ca5cea||199|4297|49|60|0
276|3c8c2fac-4fe3-42fe-ae75-db9659139f71||148|12561|49|69|0
277|af2ae976-77ae-4959-99f2-ee66f03dfee9||143|12605|49|69|0
278|a85637a2-b15b-4034-b874-dfc0c940df18||163|12354|49|70|0
279|e22baa35-2147-443a-8fef-d23b69d0f494||181|4297|49|70|0
280|8c7e6836-a361-409b-adec-3f5de8289bef||133|11651|49|51|0
281|50a9faa8-545c-4786-8432-f4ba322867ea||154|13015|49|51|0
282|e1635b94-a082-44d6-9d83-1cdd5235ecf2||175|12492|49|63|0
283|671a5bfe-0585-43d2-a21e-e13552f9a730||161|11621|49|55|0
284|7fd39e2f-c589-4c52-a41e-9b63b206671d||231|12326|49|55|0
285|00104df8-1b9b-4082-a142-3082cbf0f931||182|12803|49|55|0
286|076dfafb-fc41-4596-bf7b-593a23e0dc4d||146|12940|49|55|0
287|26759e10-1f48-4ffd-97e6-3b661fbe7345||211|11574|49|61|0
288|dd1a97fa-ba62-4cbd-91c6-82b0e67fbb67||169|11621|49|61|0
289|af0e6d47-7298-4f0a-bd11-60c770edf932||177|11655|49|61|0
290|98a8b02a-4474-4b8b-b57c-23e18b958e58||216|13082|49|54|0
291|ee83a847-6262-47ff-9b76-94244dfe09cc||174|13015|49|54|0
292|1f5c8080-c0d8-4e68-9057-2b2cc722034f||244|3934|49|54|0
293|641cc5b6-abc0-493a-bffa-8add3043a296||198|3934|49|54|0
294|3ab1daaf-c119-4d8e-b397-26985288a45b||155|13103|49|66|0
295|fece3bb7-0540-460b-b001-6e4943d49094||161|12561|49|66|0
296|73a2bd7a-0524-407e-820e-61cda12cb86d||169|13103|49|66|0
297|92a5068a-ccea-4341-8b24-9b7c0fce91a4||154|11621|49|63|0
298|aafa5c8f-9fb7-4507-b4df-210ae437f1a6||159|12288|49|63|0
299|ca39f957-52dc-41ae-bc94-6d8bf715a775||116|12605|49|63|0
300|0d400e76-c37f-4ebd-823d-e080d12f1295||169|13272|71|72|0
301|ecd31208-6ba4-41d1-9a95-0cecf78dc8f1||194|13342|71|73|0
302|25ed9d72-53d0-4afe-a319-2eab2af9c556||168|13422|71|74|0
303|a20f8a3c-f5a8-4308-aee7-33fea98843ab||150|13495|71|75|0
304|41e18d06-90be-4358-9ece-2a421ac815b2||154|13567|71|76|0
305|2fc4a8cb-3978-44b4-9290-826e70e78c93||201|13639|71|77|0
306|f9048f3a-2dca-4c8b-979b-7faa285082a6||184|13715|71|78|0
307|fb377e3c-edf4-49e6-9f01-015002b3cb7d||159|13778|71|79|0
308|cf80cca9-acce-4889-b673-69d954a28ba0||104|13819|80|81|0
309|839f2de4-36e5-4a22-b9e2-540dcd883858||120|13886|80|81|0
310|c1be8a55-4143-47b9-86e3-49e345dfedf1||147|13953|71|82|0
311|66a14411-4305-4c98-b54b-4ccd3299fca2||235|14062|71|82|0
312|346f001e-aedb-4434-b906-ce1f2745e8f2||218|14155|71|82|0
313|24f29ff4-baff-433a-927c-38d6034c82d5||184|14234|71|83|0
314|c354d997-2f0f-4c7a-97af-2cb0095a8c45||172|14306|71|83|0
315|d1db86f8-1e2d-4c88-9ce1-ff9dc5e74c23||209|14393|71|83|0
316|d09e758c-4ee6-4007-8d69-eb02cf8bdbd9||149|14458|71|84|0
317|9fbe1ef9-615b-4c06-9fa2-bdfefc5a8be2||210|14549|71|85|0
318|8c855f32-d5d8-4394-b315-312a44b7fae4||185|13639|71|86|0
320|dd224304-d856-4834-a266-321eb82a0e11||189|14702|71|88|0
321|5a9a6e6c-69a1-412b-a67d-5e348e8768b9||219|14799|71|89|0
322|1f23e7a5-319d-4379-b5f5-8a92fa77af99||211|14894|71|90|0
323|659cf39b-00e4-4b4f-b72f-6d6ab1b73a37||212|14978|71|88|0
324|dc764875-4069-494d-be25-4af81916c9d4||183|15051|80|91|0
