EVENTGROUPINGATTRIBUTE|VALUE|NAME
217|1441746679000|Start Time
218|Shaler|Location
218|1441857600000|Start Date
218|Shaler|opponent
219|Shaler|Location
219|1441857600000|Start Date
219|1441927023000|Start Time
220|Shaler|Location
220|1441857600000|Start Date
220|1441928607000|Start Time
221|Shaler|Location
221|1441857600000|Start Date
221|1441930262000|Start Time
222|Plum|Location
222|1442289600000|Start Date
222|Plum|opponent
223|Plum|Location
223|1442289600000|Start Date
223|1442358112000|Start Time
224|Plum|Location
224|1442289600000|Start Date
224|1442359980000|Start Time
225|Plum|Location
225|1442289600000|Start Date
225|1442361521000|Start Time
226|Plum|Location
226|1442289600000|Start Date
226|1442362817000|Start Time
227|Plum|Location
227|1442289600000|Start Date
227|1442364381000|Start Time
228|oakland catholic high school|Location
228|1442462400000|Start Date
228|oakland catholic high school|opponent
229|oakland catholic high school|Location
229|1442462400000|Start Date
229|1442527113000|Start Time
230|oakland catholic high school|Location
230|1442462400000|Start Date
230|1442528254000|Start Time
231|Oakland Catholic|Location
231|1442462400000|Start Date
231|Oakland Catholic|opponent
232|Oakland Catholic|Location
232|1442462400000|Start Date
232|1442531364000|Start Time
233|Oakland Catholic|Location
233|1442462400000|Start Date
233|1442533233000|Start Time
234|Oakland Catholic|Location
234|1442462400000|Start Date
234|1442534669000|Start Time
235|Oakland Catholic|Location
235|1442462400000|Start Date
235|1442536252000|Start Time
236|Gateway|Location
236|1442808000000|Start Date
236|Gateway|opponent
237|Gateway|Location
237|1442808000000|Start Date
237|1442872561000|Start Time
238|Gateway|Location
238|1442808000000|Start Date
238|1442874034000|Start Time
239|Gateway|Location
239|1442808000000|Start Date
239|Gateway|opponent
240|Gateway|Location
240|1442808000000|Start Date
240|1442876981000|Start Time
241|Gateway|Location
241|1442808000000|Start Date
241|1442878939000|Start Time
242|Gateway|Location
242|1442808000000|Start Date
242|1442880475000|Start Time
243|Gateway|Location
243|1442808000000|Start Date
243|1442882248000|Start Time
