STATDATA,PLAYER,NUMERICALDATA,TIME,STAT,DATAINDEX
542,2,,,657,0
543,2,,,658,0
544,2,,,659,0
545,2,,,660,0
546,1,,,661,0
547,2,,,662,0
548,1,,,663,0
549,2,,,664,0
550,7,,,665,0
551,4,,,666,0
552,2,,,668,0
553,5,,,669,0
554,5,,,672,0
555,7,,,673,0
558,1,,,681,0
559,1,,,683,0
560,1,,,685,0
561,7,,,688,0
562,,2,,688,1
563,3,,,689,0
564,2,,,691,0
565,7,,,692,0
566,,3,,692,1
567,4,,,693,0
568,2,,,695,0
569,3,,,696,0
571,3,,,700,0
572,3,,,702,0
573,1,,,703,0
574,2,,,704,0
575,2,,,705,0
576,1,,,706,0
577,2,,,707,0
578,5,,,708,0
579,3,,,709,0
580,2,,,711,0
582,3,,,713,0
583,5,,,715,0
584,,0,,715,1
585,5,,,717,0
586,,0,,717,1
587,3,,,719,0
588,,2,,719,1
589,4,,,720,0
590,2,,,722,0
591,4,,,723,0
592,4,,,724,0
593,,2,,724,1
594,11,,,725,0
595,2,,,726,0
596,4,,,729,0
597,11,,,730,0
598,2,,,731,0
599,2,,,733,0
600,7,,,734,0
601,11,,,734,1
602,1,,,734,2
603,3,,,734,3
604,4,,,734,4
605,2,,,734,5
606,2,,,735,0
607,7,,,736,0
608,7,,,737,0
609,3,,,738,0
610,2,,,739,0
611,7,,,740,0
612,7,,,741,0
613,5,,,743,0
614,,2,,743,1
615,1,,,744,0
616,2,,,746,0
617,5,,,749,0
618,7,,,750,0
619,,3,,750,1
620,4,,,751,0
621,2,,,753,0
622,5,,,754,0
623,3,,,755,0
624,,0,,755,1
625,5,,,758,0
626,,2,,758,1
627,1,,,759,0
628,2,,,760,0
629,1,,,763,0
630,4,,,764,0
631,2,,,764,1
632,1,,,766,0
633,7,,,767,0
634,5,,,769,0
635,,2,,769,1
636,3,,,770,0
637,2,,,772,0
638,3,,,775,0
639,7,,,776,0
640,3,,,778,0
641,3,,,780,0
642,1,,,781,0
643,2,,,782,0
644,4,,,783,0
645,2,,,785,0
646,5,,,786,0
647,,3,,786,1
648,3,,,787,0
649,3,,,788,0
650,7,,,789,0
651,2,,,791,0
652,3,,,792,0
653,4,,,793,0
654,2,,,795,0
656,3,,,797,0
657,3,,,799,0
658,3,,,802,0
659,3,,,805,0
661,3,,,809,0
662,3,,,811,0
663,2,,,812,0
664,5,,,814,0
665,,1,,814,1
666,7,,,815,0
667,2,,,816,0
668,2,,,817,0
669,2,,,818,0
670,7,,,819,0
671,5,,,821,0
672,,2,,821,1
673,4,,,822,0
674,2,,,823,0
675,4,,,824,0
676,4,,,825,0
677,5,,,826,0
678,5,,,828,0
679,,3,,828,1
680,7,,,829,0
681,2,,,830,0
682,4,,,831,0
683,2,,,832,0
684,4,,,833,0
685,3,,,836,0
686,,3,,836,1
687,4,,,837,0
688,2,,,838,0
689,2,,,839,0
690,4,,,841,0
691,5,,,843,0
692,,3,,843,1
693,11,,,844,0
694,2,,,846,0
695,2,,,847,0
696,2,,,848,0
697,3,,,850,0
698,,1,,850,1
699,1,,,851,0
700,2,,,853,0
701,7,,,854,0
702,5,,,855,0
703,3,,,857,0
704,,1,,857,1
705,3,,,858,0
706,2,,,859,0
707,3,,,860,0
708,5,,,864,0
709,2,,,865,0
710,2,,,866,0
711,3,,,867,0
712,5,,,868,0
713,,3,,868,1
714,1,,,869,0
715,2,,,871,0
716,5,,,872,0
717,3,,,873,0
718,4,,,873,1
720,5,,,876,0
721,5,,,878,0
722,2,,,879,0
723,2,,,880,0
724,3,,,881,0
725,2,,,883,0
726,5,,,884,0
727,1,,,885,0
728,7,,,887,0
729,,3,,887,1
730,4,,,888,0
731,2,,,890,0
732,7,,,891,0
733,11,,,891,1
734,1,,,891,2
735,3,,,891,3
736,4,,,891,4
737,2,,,891,5
738,2,,,892,0
739,7,,,893,0
740,3,,,894,0
